Username,Date,Content,Likes,Retweets
"karen.yeo⁷ᴮᴱ (semi-hiatus)
@timebendtowards","12:24 PM · Jul 11, 2020","""Strong mandate"" --> ""Good mandate"". uhh... ok
#GE2020 #GE2020SG",2.0,2 s
"keshia naurana badalge
@keshia_n_b","12:23 PM · Jul 11, 2020","I hope Pritam+
@wpsg
 get so much more, LTK had to pave an untrodden road for opposition that I think s'poreans are only now beginning to appreciate. at 3am, standing by the corridor outside the home of an old man who lives opp my block, he said of Low:“你看他一个人打天下”#GE2020SG",65.0,197 s
"Thara Gesan
@tharaVgesan","12:23 PM · Jul 11, 2020","East Coast you could have done better
 Also to live with nepotism for the next 5 years, leggooo
 #GE2020SG",0.0,0
"Biddy
@illgirltweets","12:23 PM · Jul 11, 2020","Paul Tambyah is LITERALLY a leader in the field of infectious diseases, we are smack in the middle of a pandemic. And still the guy who got into parliament via a walkover won.

What does it take to win Singapore voters?

#GE2020SG",20.0,37 s
"Deep Kumar
@deepkumar6376","12:22 PM · Jul 11, 2020",The political landscape of Singaporean politics have shifted based on the GE2020 results. Congrats Singaporeans for upholding democratic principles. #GE2020SG,0.0,0
"Biddy
@illgirltweets","12:19 PM · Jul 11, 2020","Jamus: Cockles of my heart?
Lee Hsien Loong: Mee Siam, Mai Hum.

Can't make this shit up.

#GE2020SG #SingaporeElection",0.0,0
"Harwindugh
@KrzzySngh","12:16 PM · Jul 11, 2020","What I've noticed from this election is that the older generation, the biggest generation, votes without watching all the campaigning and vote for the same people every time.
#GE2020SG 
#ge2020",0.0,1
"JS Sportprints
@JSportprints","11:28 AM · Jul 11, 2020","LUKA DONCIC. Prints Available!
https://etsy.com/au/shop/JSsportdesigns…

#lukadoncic #dallas #mavericks #NBA
 #NBABubble #GE2020SG #BayYanlis #coronavirus",0.0,0
"Ray
@heyrsk","11:23 AM · Jul 11, 2020",I hope SGreans are ready for 9% gst & imminent price hikes for everything else lol #GE2020SG 61.2% of the people better not make noise when the time comes ,2.0,4 s
"roshan :)
@roshaaaan_","11:22 AM · Jul 11, 2020", #GE2020SG #SingaporeElection,3.0,7 s
"ilmare
@ilmare2019","11:16 AM · Jul 11, 2020","Both gentlemen fought a gd fight, esp with such a narrow margin. Surprised Dr Paul lost but the support is behind him. Dr Chee is a changed man and very impressed by him and Dr Paul during #GE2020SG .

Times are changing. The people will be heard",0.0,4 s
"Rohai
@Roro_style","11:11 AM · Jul 11, 2020","Last night, I was annoyed with the #GE2020SG panelists on 
@ChannelNewsAsia
 who kept saying ""female candidates"", as if they don't have names, or that it's a surprise they are leaders. Last I checked, we're in 2020, and not the middle ages?!",3.0,4 s
"Isaac Tan
@isaactanbr","11:09 AM · Jul 11, 2020","Just caught this outside my window. What a fitting display! ⠀
⠀
Regardless of which political party you support, today, we are Singaporeans. ⠀
⠀
And all those who has been elected into parliament must strive to serve and represent every Singaporean.⠀
⠀
#Singapore #GE2020SG",0.0,2 s
"COUCH PATATO
@WATCHTVMUCH","11:09 AM · Jul 11, 2020",The best performance from the PAP is Mr Tharman with 74.62%. Says a lot doesn't it? #GE2020SG,0.0,0
